g695,elavl1
g696,elk1
g697,eln
g698,elovl4
g699,elspbp1
g700,eml4
g701,emp1
g702,eno2
g703,eno3
g704,enosf1
g705,enox2
g706,enpep
g707,enpp1
g708,epcam
g709,epha2
g710,epha7
g711,epha8
g712,ephb1
g713,ephb2
g714,ephb4
g715,ephx2
g716,epn1
g717,epo
g718,epor
g719,eprs
g720,epx
g721,erbb2
g722,erbb3
g723,erbb4
g724,ercc1
g725,ercc2
g726,ercc6
g727,ereg
g728,ero1b
g729,esd
g730,esr1
g731,esr2
g732,esrra
g733,esrrg
g734,etv1
g735,etv4
g736,etv5
g737,etv6
g738,extl2
g739,ezh2
g740,ezr
g741,f10
g742,f11
g743,f12
g744,f13a1
g745,f2
g746,f2r
g747,f2rl1
g748,f3
g749,f5
g750,f7
g751,f8
g752,f9
g753,faah
g754,fabp1
g755,fabp6
g756,fadd
g757,fads1
g758,fads2
g759,fah
g760,fancc
g761,fars2
g762,farsa
g763,farsb
g764,fas
g765,fasn
g766,fbp1
g767,fbxw7
g768,fcer1a
g769,fcer1g
g770,fcgr1a
g771,fcgr1b
g772,fcgr2a
g773,fcgr2b
g774,fcgr2c
g775,fcgr3a
g776,fcgr3b
g777,fdft1
g778,fdps
g779,fdx1
g780,fdxr
g781,fech
g782,fen1
g783,ffar1
g784,fga
g785,fgb
g786,fgf1
g787,fgf2
g788,fgf3
g789,fgf4
g790,fgf6
g791,fgfr1
g792,fgfr2
g793,fgfr3
g794,fgfr4
g795,fgg
g796,fh
g797,fhit
g798,fkbp1a
g799,fkbp4
g800,flt1
g801,flt3
g802,flt4
g803,fn1
g804,fnta
g805,fntb
g806,folh1
g807,folr1
g808,folr2
g809,folr3
g810,fos
g811,fosl1
g812,foxo1
g813,foxp3
g814,fpgs
g815,fshr
g816,fst
g817,ftcd
g818,fth1
g819,ftl
g820,furin
g821,fus
g822,fxn
g823,fxyd2
g824,fyn
g825,g6pd
g826,gaa
g827,gabbr1
g828,gabbr2
g829,gabpa
g830,gabra1
g831,gabra2
g832,gabra3
g833,gabra4
g834,gabra5
g835,gabra6
g836,gabrb1
g837,gabrb2
g838,gabrb3
g839,gabrd
g840,gabre
g841,gabrg1
g842,gabrg2
g843,gabrg3
g844,gabrp
g845,gabrq
g846,gabrr1
g847,gabrr2
g848,gabrr3
g849,gad1
g850,gad2
g851,gadd45a
g852,gadl1
g853,gal
g854,galc
g855,gale
g856,galp
g857,galr1
g858,gamt
g859,ganab
g860,ganc
g861,gapdh
g862,gapdhs
g863,gars
g864,gas6
g865,gata1
g866,gata2
g867,gatb
g868,gatm
g869,gba
g870,gc
g871,gcat
g872,gcdh
g873,gcg
g874,gcgr
g875,gch1
g876,gck
g877,gclc
g878,gclm
g879,gcsh
g880,gda
g881,gdf15
g882,gdnf
g883,gfap
g884,gfer
g885,ggact
g886,ggcx
g887,ggh
g888,ggps1
g889,ggt1
g890,ghr
g891,ghrh
g892,ghrhr
g893,ghrl
g894,ghsr
g895,gja1
g896,gldc
g897,gli1
g898,glo1
g899,glp1r
g900,glp2r
g901,glra1
g902,glra2
g903,glra3
g904,glrb
g905,glrx
g906,glrx2
g907,gls
g908,gls2
g909,glt6d1
g910,gltp
g911,glud1
g912,glud2
g913,glul
g914,glyat
g915,glyatl1
g916,glyatl2
g917,gm2a
g918,gmds
g919,gmpr
g920,gmps
g921,gna11
g922,gnai1
g923,gnaq
g924,gnas
g925,gnat1
g926,gng2
g927,gnly
g928,gnmt
g929,gnpda1
g930,gnrh1
g931,gnrhr
g932,gnrhr2
g933,got1
g934,got2
g935,gpd1
g936,gpd2
g937,gphn
g938,gpi
g939,gpr18
g940,gprc5a
g941,gpt
g942,gpt2
g943,gpx1
g944,gpx2
g945,gpx3
g946,gpx4
g947,gpx5
g948,gpx6
g949,gpx7
g950,gpx8
g951,grb2
g952,gria1
g953,gria2
g954,gria3
g955,gria4
g956,grid1
g957,grid2
g958,grik1
g959,grik2
g960,grik3
g961,grik4
g962,grik5
g963,grin1
g964,grin2a
g965,grin2b
g966,grin2c
g967,grin2d
g968,grin3a
g969,grin3b
g970,grk2
g971,grk3
g972,grm1
g973,grm4
g974,grm5
g975,grm7
g976,grm8
g977,grp
g978,gsk3b
g979,gsn
g980,gspt1
g981,gsr
g982,gss
g983,gsta1
g984,gsta2
g985,gsta3
g986,gsta4
g987,gsta5
g988,gstk1
g989,gstm1
g990,gstm2
g991,gstm3
g992,gstm4
g993,gstm5
g994,gsto1
g995,gsto2
g996,gstp1
g997,gstt1
g998,gstt2
g999,gstz1
g1000,guca1a
g1001,guca2a
g1002,guca2b
g1003,gucy1a2
g1004,gucy2c
g1005,guk1
g1006,gyg1
g1007,gypa
g1008,gzma
g1009,h2afx
g1010,h6pd
g1011,habp2
g1012,habp4
g1013,hadh
g1014,hadha
g1015,hagh
g1016,hal
g1017,hao1
g1018,hapln1
g1019,hapln3
g1020,hapln4
g1021,hars
g1022,has3
g1023,haspin
g1024,hba1
g1025,hbb
g1026,hcar2
g1027,hcar3
g1028,hck
g1029,hcn2
g1030,hcrt
g1031,hcrtr1
g1032,hcrtr2
g1033,hdac1
g1034,hdac2
g1035,hdac3
g1036,hdac4
g1037,hdac6
g1038,hdac7
g1039,hdac8
g1040,hdc
g1041,herc2
g1042,hes1
g1043,hexb
g1044,hgf
g1045,hgs
g1046,hibadh
g1047,hibch
g1048,hif1a
g1049,hif1an
g1050,hint1
g1051,hist3h2a
g1052,hist4h4
g1053,hk1
g1054,hla-a
g1055,hla-b
g1056,hla-dra
g1057,hla-drb1
g1058,hlcs
g1059,hmgb1
g1060,hmgcr
g1061,hmmr
g1062,hmox1
g1063,hmox2
g1064,hnf1a
g1065,hnf4a
g1066,hnmt
g1067,hoxa9
g1068,hoxb1
g1069,hoxd1
g1070,hp
g1071,hpd
g1072,hpgd
g1073,hpgds
g1074,hpn
g1075,hprt1
g1076,hpse
g1077,hras
g1078,hrh1
g1079,hrh2
